entity,code,GPDpc1950,GPDpc1951,GPDpc1952,GPDpc1953,GPDpc1954,GPDpc1955,GPDpc1956,GPDpc1957,GPDpc1958,GPDpc1959,GPDpc1960,GPDpc1961,GPDpc1962,GPDpc1963,GPDpc1964,GPDpc1965,GPDpc1966,GPDpc1967,GPDpc1968,GPDpc1969,GPDpc1970,GPDpc1971,GPDpc1972,GPDpc1973,GPDpc1974,GPDpc1975,GPDpc1976,GPDpc1977,GPDpc1978,GPDpc1979,GPDpc1980,GPDpc1981,GPDpc1982,GPDpc1983,GPDpc1984,GPDpc1985,GPDpc1986,GPDpc1987,GPDpc1988,GPDpc1989,GPDpc1990,GPDpc1991,GPDpc1992,GPDpc1993,GPDpc1994,GPDpc1995,GPDpc1996,GPDpc1997,GPDpc1998,GPDpc1999,GPDpc2000,GPDpc2001,GPDpc2002,GPDpc2003,GPDpc2004,GPDpc2005,GPDpc2006,GPDpc2007,GPDpc2008,GPDpc2009,GPDpc2010,GPDpc2011,GPDpc2012,GPDpc2013,GPDpc2014,GPDpc2015,GPDpc2016,GPDpc2017,GPDpc2018,GPDpc2019,population,pop2019,pop1960,oecd,growth2011_1960,growth2019_1960,GDPpc1960relusa
Colombia,COL,3486.0867,3428.6584,3544.0381,3728.0396,3955.7598,3977.2134,3938.8918,3804.457,3679.0229,3775.3933,3875.5615,3992.6074,4050.5901,4043.3643,4250.1777,4134.5967,4236.1855,4272.4565,4422.0811,4598.5127,4841.0151,5232.3555,5621.0923,6096.0356,6443.999,6681.9966,6971.3818,7144.9502,7514.4365,7613.8999,7802.7368,7679.0381,7548.4917,7354.1274,7349.4995,7189.2212,7491.647,7407.0815,7494.5967,7517.981,7624.9741,7516.7939,7725.0728,8091.7568,8380.6055,8597.6885,8479.6221,8537.1074,8211.042,7650.2524,7760.5581,7679.9189,7661.3618,7820.7036,8089.7007,8529.0449,9216.3428,10036.59,10897.64,10974.397,11956.13,13226.351,13683.41,13840.157,14080.851,13796.842,13566.159,13426.758,13782.132,14057.756,32364422.61666667,49907988,15606208,0,2.4361026,2.2078917,-1.5939252
Comoros,COM,,,,,,,,,,,2043.115,2149.248,2525.5764,2680.3188,2962.4124,3023.9917,3275.6116,3536.0879,3281.6091,3127.5034,3496.0806,3576.3501,3585.7532,3766.4333,3792.3091,3926.0344,3800.7041,3839.1104,3771.2881,3961.6208,4266.2813,4038.74,4215.6074,4198.4766,4737.9204,4635.9678,4984.4458,4846.2847,4593.6357,4238.0112,4056.2666,3769.3975,3876.7458,3651.4758,3244.3721,3733.7634,3529.6528,3555.6924,3173.8198,3116.7026,2951.0872,3198.0337,3194.0566,3096.7175,2993.5403,3319.0139,3208.0229,2526.7837,2664.4934,2631.4363,2503.1409,2731.4741,2961.5688,2985.0916,3005.5605,2988.6812,3090.4937,3136.6602,3181.9802,3208.8936,446079.6166666666,786583,197710,0,.57096863,.76810539,-2.2341402
Congo,COG,,,,,,,,,,,2057.4998,1877.9156,2366.4443,2560.7236,2662.7747,2577.4719,2329.5249,2309.8838,2537.6213,2724.3718,2988.2629,3199.8115,3087.0178,3474.4924,4077.0476,3766.8447,3832.1189,3881.1077,3600.9133,3958.8694,3852.4661,3053.0005,3173.9421,5011.8848,5729.8218,5242.5571,3222.5457,2961.7996,2677.1343,2614.498,3021.7749,3294.95,2339.3525,2408.0479,2232.0698,2098.3245,2318.4878,2151.5488,1664.5428,2086.7419,2908.7065,2714.7468,2628.9763,2674.9067,3128.918,4293.3706,4609.4678,3629.8501,4920.0557,3763.5007,5782.8184,7036.3994,7537.8291,6984.3872,6489.6001,4702.7046,3968.5942,4074.6653,4925.4014,4657.1162,2710257.8,5616656,1056737,0,2.4402897,1.3942143,-2.2271242
Costa Rica,CRI,3650.1194,3667.0369,4010.3206,4634.4458,4660.7104,4893.4326,4585.0161,4736.1396,5131.7588,4973.7656,5185.354,4906.3794,5046.1523,5172.9116,5278.2881,5652.5845,5786.3589,5870.2139,6056.0674,6218.5889,6586.2734,6738.6455,7014.8965,7322.5996,7374.3887,7449.1553,7837.1421,8508.7998,8717.1719,8892.4375,8711.5156,8399.1006,7640.2612,7521.541,7872.4414,7791.8486,8399.3672,8193.1953,8200.5156,8503.6201,8554.5605,8486.7012,9139.4463,9528.8535,9725.5361,9864.4697,9468.5938,9664.7725,10392.514,10271.373,10515.262,10787.231,10691.711,10874.106,11215.025,11871.861,11952.692,12489.902,13053.728,13642.417,13726.42,14410.855,15094.226,14711.616,15424.482,16333.762,17231.314,18127.814,18217.113,18522.178,3141371.666666667,4999551,1327499,0,2.0244222,2.1812985,-1.3027776
Cote d'Ivoire,CIV,,,,,,,,,,,1785.9729,1813.3947,1839.7877,2005.4402,2235.7708,2044.7189,2188.6125,2196.1094,2380.407,2486.5051,2626.011,2682.5842,2680.5347,2708.0466,2794.271,2788.0007,2987.8298,3058.7117,3213.3909,3129.4502,2666.6819,2685.6575,2653.4292,2571.5454,2539.6838,2716.5298,2742.6409,2603.6125,2570.0491,2721.9626,2428.3728,2402.7683,2423.8716,2311.1638,2193.9429,2441.3,2563.752,2489.2673,2470.8025,2367.7683,2261.1787,2223.5859,2147.0774,2347.7002,2188.2683,2141.6702,2195.8384,2274.3438,2359.7388,2507.6616,2796.2966,2889.4258,3346.0703,3657.7283,4091.1125,4541.9023,4546.2495,4548.877,4816.7642,5035.3491,13414367.63333333,28193014,3673672,0,.94778579,1.7723355,-2.3686526
Cyprus,CYP,3253.2979,3377.5615,3703.0408,4107.4268,4536.8843,4617.4688,5083.3057,5052.8584,4339.6245,4528.8667,4254.5083,4748.7886,5603.0361,5615.771,4778.3066,6091.9824,6331.1221,6994.2295,7183.4668,8117.1704,8332.3809,9033.2012,9370.4639,9178.2754,8600.7012,7087.0781,9001.2891,11350.472,12566.743,14346.666,15213.302,15136.402,16109.721,16706.447,18406.432,17863.164,17977.922,19194.125,20122.25,22119.771,22535.141,21508.553,22322.891,21656.121,22380.373,23329.41,22778.906,23260.777,22803.709,24305.844,27567.721,28040.58,26906.66,25184.34,25365.447,28928.689,29449.406,30878.047,32407.42,31801.402,31855.75,30961.527,31319.172,28148.766,26588.385,28228.881,30758.475,31253.988,31223.533,32301.82,849515.95,1286669,586494,0,3.9684169,3.4955447,-1.5006366
Democratic Republic of Congo,COD,2154.4399,2468.5337,2590.8682,2880.6638,2927.0654,3067.0964,3105.0396,3009.6746,2937.4207,2876.1421,2983.8123,2467.3286,2954.0107,2761.447,2452.7302,2736.6892,2848.1897,2533.3489,2651.9548,2870.29,2878.8459,2781.3787,2610.6938,2801.303,2880.5022,2274.2776,2003.6178,2038.5066,1951.9229,2171.3782,2184.8337,2040.1947,2033.0565,2041.6466,2290.5271,2143.6021,1969.2367,1874.8965,1958.4717,1950.5587,1488.0116,1175.7506,1461.757,1105.5034,784.54498,790.26294,688.00446,690.32843,611.72339,619.68628,544.67126,529.62762,534.19641,564.896,604.6236,637.12982,672.71466,692.34882,663.38361,657.21429,712.17908,746.29626,773.65466,826.74091,890.46399,944.79175,1060.6923,1006.6029,1009.1198,1021.6937,42035443.16666666,92947448,15264853,0,-2.6807353,-1.8001094,-1.855414
Denmark,DNK,10533.165,10272.443,10416.398,10985.877,11257.637,11132.258,11295.049,11808.914,11960.839,12868.686,13568.79,14338.302,14907.131,15032.26,16132.699,16703.311,17004.727,17770.529,18674.508,19775.559,19875.738,20302.104,21029.934,21717.08,21284.607,20856.074,21944.219,22428.947,23003.828,23879.375,23979.723,23128.795,23511.057,23736.131,24247.697,24626.002,26436.166,27056.191,27024.982,27144.453,27817.977,27846.027,28845.561,28523.4,29687.18,30550.236,31560.564,33088.336,33963.254,35450.438,37403.957,37265.41,37064.266,37679.652,39556.914,43031.414,44582.707,45687.332,48294.336,46005.824,48860.055,49686.809,49100.336,47969.641,47861.254,47492.906,48930.09,51671.598,51931.836,54027.148,5203806.95,5814619,4579349,1,2.5776961,2.3695264,-.3408435
Dominican Republic,DOM,,2451.8706,2494.1851,2434.4443,2590.2583,2529.1106,2634.0437,2729.6519,2593.4521,2809.4214,3234.1206,3069.6611,3272.0635,3069.144,3070.5425,2784.45,2778.4055,2783.0281,2646.4529,2780.4595,3103.1809,3263.0518,3825.2026,4091.9722,3964.2429,4043.0562,4492.9634,4339.6826,4266.9014,4325.5923,4097.7725,4566.8198,4543.4604,4677.3579,5125.0703,5130.9897,5342.396,5853.104,6098.4043,5615.8857,5110.1016,5105.4014,5854.0356,6292.9736,6502.6357,6529.189,6672.229,7267.3047,8032.6108,8440.9893,8391.9766,9149.3037,9048.3887,8276.9854,8504.5527,9431.8213,10494.584,11406.723,11560.211,12149.653,13096.969,13231.797,13328.421,13388.624,13998.327,15161.65,16169.959,16557.008,17155.328,17926.738,7072920.316666666,10894043,3268340,0,2.8009923,2.9451401,-1.7748587
Ecuador,ECU,3364.0391,3392.6758,3614.3569,3734.9204,4044.5837,4106.4692,4115.0791,4133.8828,4096.0781,4199.9434,4364.3145,4446.1816,4491.6289,4451.6528,4669.4229,4684.8086,4687.9688,4902.5313,4991.6621,4985.0093,5207.834,5386.8911,5288.8716,5708.668,6638.418,7078.2065,7384.3027,7477.6079,7680.5063,7787.6123,7915.2378,7944.1943,7629.5801,7228.126,7104.4971,7071.1138,6646.9941,6400.9155,5996.1777,5937.2642,6184.4883,6281.0986,6303.6411,5729.5166,5744.6519,5668.0459,5577.771,5744.3452,5735.9287,5309.4849,5510.876,5798.6143,6233.9888,6496.728,7106.0952,7963.3896,8460.0811,8832.0977,9664.3223,9225.9893,9908.4775,10796.917,11377.923,12181.178,12239.398,11354.9,11039.747,11413.081,11474.869,11235.628,10478118.48333333,17340016,4590893,0,1.7919436,1.6156735,-1.4751546
