entity,code,GPDpc1950,GPDpc1951,GPDpc1952,GPDpc1953,GPDpc1954,GPDpc1955,GPDpc1956,GPDpc1957,GPDpc1958,GPDpc1959,GPDpc1960,GPDpc1961,GPDpc1962,GPDpc1963,GPDpc1964,GPDpc1965,GPDpc1966,GPDpc1967,GPDpc1968,GPDpc1969,GPDpc1970,GPDpc1971,GPDpc1972,GPDpc1973,GPDpc1974,GPDpc1975,GPDpc1976,GPDpc1977,GPDpc1978,GPDpc1979,GPDpc1980,GPDpc1981,GPDpc1982,GPDpc1983,GPDpc1984,GPDpc1985,GPDpc1986,GPDpc1987,GPDpc1988,GPDpc1989,GPDpc1990,GPDpc1991,GPDpc1992,GPDpc1993,GPDpc1994,GPDpc1995,GPDpc1996,GPDpc1997,GPDpc1998,GPDpc1999,GPDpc2000,GPDpc2001,GPDpc2002,GPDpc2003,GPDpc2004,GPDpc2005,GPDpc2006,GPDpc2007,GPDpc2008,GPDpc2009,GPDpc2010,GPDpc2011,GPDpc2012,GPDpc2013,GPDpc2014,GPDpc2015,GPDpc2016,GPDpc2017,GPDpc2018,GPDpc2019,population,pop2019,pop1960,oecd,growth2011_1960,growth2019_1960,GDPpc1960relusa
El Salvador,SLV,668.41376,652.10565,684.3808,715.24359,700.93915,715.85254,737.57532,753.13391,758.05829,762.69025,745.04803,766.54333,834.47412,835.50543,866.31256,890.78015,915.42151,945.57098,956.70062,958.67297,949.91931,952.71008,979.18732,1012.7227,1036.2714,1071.1747,1089.7352,1102.424,1156.9841,1146.4001,1060.5958,993.04865,968.79608,988.18488,1028.891,1032.434,1106.808,1094.3303,1135.3795,1131.9446,1048.6945,1068.5349,1157.3202,1336.123,1418.6335,1621.5951,1753.0057,1919.1135,2004.0417,2121.9409,2323.7451,2438.77,2671.4375,2915.498,3126.8823,3658.7615,4014.762,4418.2358,4903.5405,5222.856,6049.7974,7215.2173,7372.1929,7369.9351,7582.2363,7584.5791,7707.979,7942.0962,7987.9927,8116.269,4996954.516666667,6222316,2791451,0,4.5525455,4.1307964,-3.2429223
Equatorial Guinea,GNQ,,,,,,,,,,,1175.7365,1169.4299,1191.6847,1348.4081,1355.3262,1458.7303,1587.5831,1746.8203,1826.6647,1888.5193,1913.5905,2029.8922,2141.6301,2396.6367,2579.7415,2856.5713,2955.4529,3247.8215,3099.884,2920.1482,2976.1514,2895.4849,2842.3718,2740.7205,2569.4846,2727.949,2424.7856,2471.5378,2520.7517,2417.3616,2488.5537,2531.407,2556.1719,2461.125,1484.0676,2145.9746,3670.2224,6662.3823,6236.4053,7854.0034,10087.055,14263.422,12665.386,14122.253,18373.035,27228.811,27331.096,31566.941,41114.871,27650.639,38225.527,45539.738,46761.898,42763.109,39636,27242.693,23845.719,25498.295,26722.547,24712.76,645982.0333333333,1670184,269813,0,7.43328,5.297277,-2.786721
Ethiopia,ETH,425.46078,475.93042,482.47263,507.43994,502.38071,504.34412,519.78259,506.13391,500.1962,523.68378,536.42249,546.8913,557.55902,560.78943,583.90515,613.45013,622.23914,619.16669,635.15015,663.41119,652.38568,662.46039,673.86646,670.82031,665.89374,673.3656,686.77112,686.53467,692.21515,700.27911,728.37317,793.66919,846.10913,955.98071,938.78601,961.03229,910.83856,874.72711,834.42719,746.96246,821.58643,718.16644,625.87164,665.67438,600.59186,651.81622,642.32446,682.99683,613.87909,618.1026,593.40338,672.91284,580.50122,601.96472,692.32605,806.12512,793.50531,919.3985,978.54169,1006.8923,1155.4794,1267.2755,1336.031,1400.8866,1666.4066,1758.5656,1970.3477,2025.7733,2266.0593,2720.7412,55281348.18333333,115737384,21376688,0,1.6999792,2.7903175,-3.571449
Fiji,FJI,,,,,,,,,,,3122.2131,3090.6667,3041.5786,3365.261,3773.2859,3134.8645,3146.1458,3517.834,3855.6216,3913.1704,4229.561,4586.6606,4819.5781,5269.833,5325.8511,5309.4995,5257.0278,5528.4175,5661.9971,6554.4219,6420.8706,6118.2852,5764.9922,5260.1216,5520.5474,5376.1157,5364.3496,5332.7505,5601.918,6144.8398,6942.4248,6394.4063,6496.3394,6429.6172,6653.0229,6433.8896,6641.1167,6384.437,6189.0454,6589.7676,6694.667,6628.3354,6544.0381,6119.5571,6088.1709,5941.6768,6637.2476,6748.2866,7331.2466,7884.7168,8670.0039,9192.6729,9773.7988,10762.616,12349.98,12973.972,12733.721,12996.861,14065.826,13753.734,723730.5833333334,914904,404899,0,2.1399572,2.545013,-1.8100737
Finland,FIN,6581.0063,7331.6372,7420.9785,7279.3745,7977.2192,8529.5244,8588.3467,8577.7549,8523.6758,9099.6826,9945.2148,10861.013,11008.036,11041.996,11329.446,11993.564,12316.558,12618.392,13243.685,14580.726,15758.58,16013.29,17011.822,18095.176,18662.143,18063.592,17988.357,18046.467,18710.459,20127.535,21286.984,21549.025,21664.705,21860.852,22333.465,22419.217,23742.021,24809.166,26612.57,27585.281,27493.334,25045.555,24002.836,23815.592,25278.773,28161.002,28040.688,30470.166,32887.984,34454.281,35949.781,36123.156,35880.758,36471.539,38077.883,40534.965,41241.23,44680.039,46203.699,42181.793,43468.391,44077.234,43473.602,41426.906,41140.891,41660.523,42577.578,43827.152,44198.883,44928.516,4985141.266666667,5521755,4429631,1,2.9623473,2.5888436,-.65152431
France,FRA,7635.002,7985.8604,8147.0972,8410.8486,8818.0918,9215.0293,9586.4297,10009.013,10204.252,10382.35,11134.624,11547.519,12086.586,12666.509,13353.873,13855.951,14475.218,15079.873,15609.67,16579.016,17435.078,18326.459,19144.795,20371.342,21193.426,20989.449,21905.221,22719.139,23682.801,24584.348,24980.373,24369.193,24201.264,23726.705,23348.615,22841.9,23972.672,24539.063,25643.527,26444.75,27149.924,27119.656,27494.258,27321.758,27763.336,28275.717,28793.59,30322.691,31888.025,33225.113,34969,35672.859,35605.211,34481.52,34925.938,37604.82,38307.066,39857.41,39980.652,38507.375,39900.059,40818.422,41133.777,40529.363,40418.523,40998.422,41386.223,42818.762,43192.387,43755.063,56723197.63333333,65729460,46428136,1,2.5799222,2.3466837,-.53855628
Gabon,GAB,,,,,,,,,,,3861.6458,4130.4429,4574.9727,5453.8926,6013.1855,6641.6123,6080.4829,6570.1426,6629.937,7010.5093,8101.0806,8265.8857,8036.3706,9139.0938,11739.699,12716.692,15014.529,14102.245,14763.772,14559.305,14617.956,13484.786,12496.025,13374.945,14403.564,12808.571,9648.2012,9154.9102,8039.7729,10190.508,11923.688,12111.354,11212.015,11046.66,9800.4238,10694.767,11755.115,10027.706,8458.9775,9760.9219,11433.374,10162.868,10450.114,11533.039,13587.453,17984.838,16863.58,17205.846,19817.643,12171.495,13814.354,18695.826,16368.317,16564.461,16101.84,15222.635,14748.529,14775.115,15297.462,15492.227,1102715.8,2267710,512324,0,3.1408789,2.3825932,-1.5975224
Gambia,GMB,,,,,,,,,,,2815.8318,2554.5039,2503.2,2562.6958,2771.772,2995.7693,2951.438,2837.9036,2933.5078,2792.0693,3099.8491,3019.6304,2974.3572,3148.2969,3231.6333,3319.1831,3162.0032,3095.6765,3173.1575,2975.2769,2889.3718,3316.4436,3441.4219,3194.3081,3172.4929,3144.0452,3110.8923,2983.408,2931.2161,2895.3401,2878.5708,2846.5674,2821.2161,2832.5757,2750.1882,2729.7061,2708.5466,2687.5923,2623.0505,2765.3101,2913.8247,2924.8987,2688.4856,2872.5439,3446.551,3571.4543,3208.4622,3192.231,2932.5203,2923.3157,2956.5569,2571.8005,2585.1079,2447.1323,2291.7373,2270.7078,2157.3025,2192.0273,2381.8081,2408.8591,1164956.2,2456847,398070,0,-.17759006,-.2642341,-1.9133581
Germany,DEU,5227.417,5756.6978,6252.1753,6751.1406,7292.3228,8258.3467,8843.3652,9287.0088,9531.3965,10264.624,11158.834,11515.062,11832.689,11997.435,12782.994,13321.435,13593.178,13405.284,14106.714,15100.145,15778.724,16231.725,16986.176,17924.977,18223.402,18229.615,19238.131,19982.127,20701.891,21694.715,22038.219,21626.012,21183.645,21225.652,21446.943,21471.289,23138.275,24096.135,25283.973,26246.838,28100.42,29495.428,30374.363,30521.496,31559.746,32570.662,32941.699,33996.988,35165.75,36591.91,37290.406,37771.262,37600.027,38480.516,39573.629,41565.598,42595.031,45097.148,46266.527,43240.043,45435.336,47754.105,47312.203,47302.219,48789.922,48064.566,49255.832,51253.328,51284.934,51190.891,79565679.16666667,83559184,72811640,1,2.891674,2.6155357,-.53638434
Ghana,GHA,,,,,,3869.3171,3871.0313,3678.5806,3784.6497,4272.0303,4536.6733,4289.8594,4214.4893,4474.9878,4658.6235,4470.4263,4303.3535,3910.02,3831.8147,4027.1414,4524.1558,4600.6406,3795.1394,4151.3154,4577.98,3964.3547,3522.8052,3968.5081,3897.7017,3589.9397,3524.4199,3221.0073,2682.9583,2580.863,2736.7095,2842.3237,2823.1868,2804.1926,2993.3928,2906.5305,2928.9849,3126.7476,2958.5459,2714.1685,2769.907,2818.9734,2790.3516,2996.9326,2913.6665,2988.0742,3467.5833,3139.4385,3076.7017,3189.0496,3336.3586,3346.9651,3352.8547,3924.3242,4304.0332,3999.699,4363.8564,4841.9297,5338.2764,5636.3208,5831.9644,5354.6421,5022.625,5080.7471,5111.9092,5363.2695,16544412.8,31258942,6961216,0,.12776653,.28409734,-1.4364218
Greece,GRC,,3767.2412,3645.4009,4097.8286,4143.4375,4389.1733,4740.2417,5067.7173,5267.7412,5421.5835,5481.6079,6185.3022,6046.6035,6801.4517,7266.0376,8015.4658,8580.2988,8910.0313,9474.4736,10512.24,11460.879,12287.418,13428.997,14308.896,13314.048,13942.771,14661.13,14733.614,15553.054,15674.379,15780.877,15657.779,15041.686,14754.898,15021.075,15503.57,16073.81,15873.447,16948.709,17681.326,17753.793,18705.66,18831.648,19071.445,19892.023,20419.391,20910.096,22679.924,23877.654,24256.174,25357.277,26199.316,27155.65,27225.674,28451.609,29086.717,31469.406,31673.479,32849.035,32017.865,29795.945,27150.488,26113.637,26244.691,26016.303,26330.736,25818.572,26477.574,26602.74,27201.492,9989375.449999999,10718580,8384481,1,3.1869786,2.7522326,-1.2472173
Guatemala,GTM,2285.4351,2253.7097,2244.4634,2248.521,2218.0811,2162.7515,2239.8828,2283.9521,2330.8796,2397.6897,2376.8977,2422.1729,2424.9993,2502.0559,2516.0674,2551.4524,2641.6719,2687.0671,2833.2473,2938.9985,3052.1064,3110.908,3258.5532,3369.8896,3440.8625,3457.5781,3540.1978,3739.7336,3820.4053,3953.4158,4045.0833,4083.051,3922.1082,3825.3538,3799.5938,3610.5532,3702.9429,3742.5781,3677.9619,3890.3545,4007.8723,4178.646,4243.5972,4408.7407,4507.147,4710.4346,4731.7598,4891.0132,5072.1191,5235.6812,5402.2749,5599.3179,5682.7383,5760.5005,5866.6948,6019.3354,6234.127,6527.2104,6697.6802,6729.5073,6941.2446,7311.478,7688.2773,7549.355,7533.8525,7737.959,7599.9082,7507.9658,7611.8486,7769.8281,9574171.783333333,17103802,4063660,0,2.2276843,2.0278323,-2.0828197
Guinea,GIN,,,,,,,,,,3148.4966,3415.7417,3586.2356,3629.7214,3697.999,3384.5684,3446.1482,3447.8977,3280.4089,3230.1262,3143.5823,3003.9177,3114.6372,3137.4387,3138.1658,3253.2827,3303.9348,3508.1252,3338.8811,3503.8267,3400.3303,3471.9214,3365.8965,3374.7673,3301.7886,3276.7043,3331.3857,3292.2568,3337.615,3470.8967,3449.4065,3456.2473,3433.7781,3374.5256,3463.0415,3543.2302,3596.5791,3811.9185,3396.2859,3348.479,3048.5176,2790.3203,2564.04,2408.5251,2088.6907,1971.0288,1972.3492,2000.3522,1966.5919,1981.6384,1839.9288,2021.2056,2100.6245,2156.9602,2168.7979,2068.8657,2086.2366,2241.3779,2422.3333,2222.562,2286.8052,7055306.7,13034349,3556755,0,-.94872576,-.67775875,-1.7202212
Haiti,HTI,,,,,,,,,,,1479.29,1408.7339,1461.8575,1422.6636,1387.1985,1372.0122,1350.0504,1294.4592,1302.8358,1326.4661,1357.6516,1380.9076,1390.4067,1451.7743,1559.2338,1555.9679,1730.8546,1750.0658,1784.8375,1870.1345,1954.6372,1842.3234,1699.9161,1695.7954,1683.6487,1618.9492,1610.377,1621.505,1614.3726,1485.8901,1491.0653,1446.8429,1398.8191,1347.3322,1147.6416,1469.2036,1665.4725,1708.7142,1675.785,1852.2206,2175.7676,2077.2568,2032.5906,2040.7458,1908.9474,1898.3846,1846.8743,1994.0726,1845.7612,1879.1141,1826.8264,1833.386,1827.4252,1817.1644,1854.9742,1913.0902,1826.075,1653.7714,1580.17,1554.0212,7054903.15,11105164,3858448,0,.42167529,.083566509,-2.5570536
Honduras,HND,2339.0276,2342.1228,2286.0479,2383.3479,2150.4941,2122.2944,2327.2734,2303.8291,2326.2781,2329.332,2242.8164,2260.7329,2294.9355,2266.0105,2326.4263,2423.135,2424.9905,2436.5693,2521.0269,2442.3374,2442.147,2421.0183,2497.1333,2612.3176,2472.0149,2474.4468,2735.5474,2964.2092,3092.7134,3086.0959,3063.8535,3047.877,2987.6321,2862.73,2918.3853,2851.46,2962.9722,3031.748,3166.1099,3166.6462,3253.6936,3317.5164,3328.1123,3499.3899,3484.4119,3764.519,3494.7537,3529.9968,3539.1255,3387.3474,3541.5427,3504.3679,3572.1563,3653.394,3779.1619,4056.4424,4097.7021,4267.3638,4018.6868,3958.0103,4111.9009,4355.0127,4573.7173,4343.8896,4569.1372,4976.4863,5222.5898,5346.9595,5359.8574,5428.0635,5332835.733333333,9943637,2062067,0,1.3096689,1.5093279,-2.1408834
Hong Kong,HKG,,,,,,,,,,,6004.6245,6103.355,6458.0366,7040.4751,7490.2095,8302.5898,8605.6465,8663.2676,8942.5166,9774.2939,10478.251,11067.369,11999.145,13196.771,13129.649,13086.177,14549.874,15817.94,16880.426,18155.105,19482.244,20445.721,20518.682,21255.424,22743.074,21794.006,24438.684,28007.119,28645.143,30233.621,32684.734,34285.547,36898.359,39106.063,40133.449,40662.207,42334.578,43059.801,39778.902,40050.832,44197.266,46896.504,49144.324,50446.914,57668.973,60869.176,55957.227,58844.316,57288.324,51092.262,55370.082,59504.652,61950.711,68567.914,59591.82,51588.313,50629.367,49927.07,55578.684,54810.02,5541639.383333334,7485816,3094854,0,4.5997601,3.819164,-1.1560858
Iceland,ISL,9509.5391,9200.7764,8956.0645,10123.791,10932.814,12095.197,11845.927,11620.112,12556.767,12620.768,12724.489,13089.694,13375.869,14696.49,16238.449,17447.117,18353.047,17458.096,15876.971,16534.83,17612.004,20862.559,20285.867,22342.842,23688.918,23470.518,23298.738,26044.498,27070.258,28142.021,29624.107,30693.291,31506.791,28065.699,30520.912,29867.027,32202.543,35800.879,36398.66,34395.797,33947.117,34226.852,32496.238,32630.027,33346.328,33038.734,33539.898,36563.273,37906.273,40203.781,39474.602,41138.188,40690.414,40512.914,42238.293,45611.082,43693.656,45280.676,56671.102,47770.586,43342.039,44048.383,45529.609,45043.262,45567.027,47414.691,48601.988,49844.32,50344.73,53011.742,257380.4166666667,360709,175572,1,2.4647079,2.4481044,-.40508735
India,IND,950.71527,973.86188,986.32861,1020.8444,1045.1151,1049.5339,1075.9296,1060.9073,1112.7397,1108.755,1168.0719,1181.886,1204.7657,1258.7202,1320.7396,1271.174,1241.676,1307.1124,1334.6228,1442.8729,1434.1698,1461.3068,1476.7139,1528.9709,1486.11,1593.6079,1541.4592,1498.7567,1436.564,1307.5255,1310.5286,1269.2772,1211.3611,1217.4896,1192.4418,1184.8011,1207.8566,1244.0525,1313.3569,1376.0935,1430.1027,1446.1476,1495.1007,1543.7616,1603.368,1702.7816,1806.5155,1854.2544,1976.453,2078.6558,2137.655,2214.3452,2295.8237,2463.0178,2650.0457,2973.6599,3281.6194,3622.2944,3784.6685,3991.5815,4554.7417,4893.6719,5230.3315,5236.9985,5397.0723,5634.4409,5886.458,6188.4565,6579.5059,6711.3848,878186831.9,1389030272,435990336,0,2.8488214,3.0078239,-2.7932613
Indonesia,IDN,,,,,,,,,,,1387.8933,1499.3442,1437.8584,1284.5341,1207.823,1406.2166,1152.1919,1210.1932,1236.7852,1249.5916,1313.4451,1375.4673,1505.1182,1653.4351,1755.7001,1803.5731,1908.2358,2033.8396,2142.5544,2239.7317,2408.4099,2555.3286,2541.1729,2667.9094,2754.0002,2729.8496,2737.75,2785.3623,2831.7561,3078.749,3436.3403,3678.3901,3856.4529,4041.9419,4275.9375,4604.4634,4933.6025,4941.9053,3943.8677,3939.083,3753.7678,3800.9529,3817.3889,3824.2468,4128.3716,4452.749,4878.2227,5392.1104,6382.0293,6983.9497,8177.1118,9775.5947,10309.083,10405.758,10458.301,10247.408,10315.834,10640.702,11247.842,11595.102,180497066.8666667,272489376,88296072,0,3.901849,3.6634688,-2.6208289
Iran,IRN,,,,,,2680.6794,2876.6887,3301.7825,3699.2808,4028.7598,4052.0598,4232.0806,4493.5933,4475.3584,4712.0669,5176.0205,5320.5107,6197.4141,6449.9639,6809.0039,7584.3203,7553.1484,8636.7715,8503.1826,9624.7529,9089.7578,9501.7285,11271.521,7196.2539,6300.4238,4104.1333,3558.3552,4196.292,,,3398.5193,2961.5049,3018.511,2673.9895,2835.5413,3292.6057,3758.9773,4024.4224,5111.1772,5340.2954,5455.5435,6564.5313,6825.542,6865.6553,7616.8496,8242.7148,9235.2803,10496.199,11498.957,12932.736,14921.047,15904.463,17915.809,17714.201,18044.977,19116.523,19992.902,17011.908,16181.029,15579.527,13497.838,13911.05,14040.69,13188.87,13240.924,53731600.51666667,87051648,21470432,0,3.1792002,2.0272012,-1.5493904
Ireland,IRL,5439.0483,5512.5454,5738.2803,5877.48,5972.7539,6157.8242,6129.4072,6136.5269,6086.0239,6354.354,6697.1445,7039.0088,7185.5522,7465.895,7654.1436,7732.9189,7836.7793,8260.9082,8859.8906,9250.6475,9313.1523,9516.6611,10107.711,10525.586,10614.252,10943.16,11243.767,12164.756,13122.535,13624.624,14064.997,14136.983,14162.08,13791.215,14015.858,13992.832,14832.848,15861.533,16536.195,17637.57,19040.83,19321.967,20577.311,21711.354,22653.373,25668.748,27494.088,30539.477,33236.836,36071.598,39746.352,42077.629,46392.895,49762.98,51708.684,55875.633,56340.168,60186.035,56254.652,52878.867,52986.938,53714.656,54413.625,54242.168,58406.457,75990.266,81188.492,86808.648,91647.367,102622.45,3667672.85,4933491,2827691,0,4.1668363,4.7347317,-1.0469345
Israel,ISR,5786.6851,6702.9004,5974.5283,5780.0479,6720.4194,7367.2529,7820.3599,8006.4414,8241.5391,9008.9639,9298.083,10007.009,10388.284,11103.577,11661.447,11298.196,12167.412,11997.752,12306.788,13779.046,15009.861,16201.95,17340.369,18197.607,18528.711,18721.404,18265.855,17814.516,18224.574,18670.043,18795.83,19529.758,19713.549,20157.574,20137.555,20157.389,21147.588,22510.836,22937.654,22135.908,23651.15,24962.555,26136.834,26611.432,27426.521,28639.363,29926.4,30878.256,31693.592,32805.27,35327.105,35125.93,34616.707,32723.291,32018.518,31816.086,31477.191,31280.051,30694.039,31679.553,32680.99,33663.434,34910.715,36078.668,36230.445,37281.348,39039.242,38979.031,38243.504,38562.625,4927656.233333333,8657466,1891941,0,2.5548434,2.440274,-.71880752
Italy,ITA,4536.1855,4910.3511,5040.8887,5369.7485,5562.7256,5900.3647,6089.4995,6312.9175,6553.3604,6974.9692,7582.8574,8164.4204,8569.2891,8901.1543,9080.2529,9266.7246,9722.4355,10357.854,10963.985,11560.775,13036.207,13272.596,13844.938,14945.152,15898.907,15623.417,17110.408,17926.492,18917.652,20585.076,21941.047,21531.699,21148.318,20860.445,21096.102,21268.631,22689.629,23829.486,24882.01,25912.541,27016.469,27820.145,28310.203,28232.004,29150.039,30583.93,31243.602,32623.664,34237.781,35258.895,36099.543,35995.871,35316.086,35236.848,35210.148,36438.453,37629.727,39278.039,40041.078,38338.211,38651.531,39455.664,38435.727,37340.996,36959.641,36995.258,38755.73,40155.508,40546.684,40732.031,56489390.56666667,60130136,49514556,1,3.2867558,2.8903465,-.92272568
Jamaica,JAM,,,,3639.4023,3992.9976,4327.6938,4741.9712,5274.3247,5285.0488,5334.333,5523.0947,5730.7642,5760.7764,6091.4146,6278.6899,6344.8906,6316.1953,6237.7949,6198.145,6384.5269,7165.0977,7313.7988,7919.0273,7906.5039,7543.2207,7310.4043,6796.1416,6347.7783,5955.0796,5392.5586,4754.8774,4632.6929,4555.4448,4668.686,4421.7261,3884.6299,4262.8516,4693.7031,4898.8657,4952.0605,5283.7178,5111.8892,5378.626,5708.2231,5663.5908,5687.1602,5759.1538,5669.9473,5717.9023,5800.8501,5864.0728,5846.3657,5833.9844,6346.4126,6432.5444,6879.6313,7092.3403,7476.8242,7398.1899,7390.9375,7533.5967,7649.4287,7937.2959,8067.0303,8039.1553,8088.8892,8092.5947,8206.209,8419.6279,8434.5225,2329781.166666667,2823275,1650008,0,.64065647,.72019929,-1.2396774
Japan,JPN,2804.927,3050.9861,3310.7214,3411.5442,3547.7119,3785.0757,4000.8286,4244.8076,4512.6089,4889.3765,5473.6265,6018.1743,6534.1128,7003.3975,7711.3081,8102.6348,8851.9141,9667.9736,10765.293,11935.014,13023.325,13613.445,14635.703,15587.087,15280.525,15796.556,16670.613,17632.516,18790.568,19873.619,20852.17,20679.117,20248.773,19793.24,19753.051,20254.344,21946.01,23362.334,25594.398,27335.031,29385.457,31110.086,32143.326,33009.441,33976.027,35783.742,37559.605,37646.121,37128.617,37066.078,37915.273,37468.684,37384.547,37952.09,38901.746,39823.617,40255.957,41021.09,40303.449,38058.359,39789.699,39162.328,39235.848,39666.531,39171.813,40274.207,39467.09,39598.293,39352.129,39704.234,119033203.3666667,126699424,96399752,1,3.9337823,3.4155369,-1.2486744
Jordan,JOR,,,,,2298.0862,1838.889,2458.5337,2486.6096,2711.3315,2989.2751,3028.6792,3432.5583,3338.1965,3407.0559,3741.7019,4015.6855,4017.6443,3982.0559,3625.4224,3531.5303,3103.5198,2926.2825,2996.3965,2779.5474,2764.4419,2484.2554,2778.9221,2712.9126,3354.6035,3724.4636,4253.4209,4123.5654,4115.7188,4058.3689,4531.1445,4214.2676,4113.1289,4617.3389,4667.1274,4790.7837,3835.9253,3660.4214,3673.8845,3626.1243,3513.9275,3672.9226,3625.6355,3640.8474,3739.8901,3605.2463,3860.0205,4065.502,4361.312,4536.2358,5471.1289,6394.5991,7247.3047,7958.8003,9320.3389,10554.338,10614.14,11674.002,11807.083,11130.207,10663.561,10457.684,10088.105,10580.568,10844.865,10789.006,4242588.966666667,10671892,853471,0,2.6808698,2.1765711,-1.8404891
Kenya,KEN,1643.9808,1905.2682,1710.3495,1581.1816,1692.884,1743.9127,1753.7828,1785.0605,1748.9415,1650.299,1738.9978,1672.1246,1748.525,1734.6394,1835.7885,1873.9449,1996.4226,2008.9562,1936.5525,2000.6708,1792.743,1877.7672,1995.033,1983.3896,2133.9338,2067.4504,2029.9143,2187.1558,2277.8689,2193.9148,2226.3081,2186.1978,2177.3225,2215.3674,2282.3682,2245.7778,2337.3232,2283.0342,2335.4775,2280.5957,2314.9226,2289.481,2166.9836,2224.6921,2483.4678,2319.676,2348.0977,2324.1121,2272.3665,2233.9749,2150.2163,2180.0522,2068.823,1974.1195,2007.8159,2093.7253,2248.7551,2328.8931,2348.9912,2425.5322,2608.519,2757.1055,2919.0146,3051.3423,3285.2981,3538.2283,3722.6748,4044.9116,4127.8296,4236.668,24937447.95,51202828,7695306,0,.90776682,1.520715,-2.3953068
Lesotho,LSO,,,,,,,,,,,1021.4302,1017.6111,1152.4762,1264.4597,1331.3311,1330.4617,1383.495,1458.38,1430.542,1401.298,1434.7484,1312.7318,1578.7141,1908.8944,2003.8358,1935.2979,2214.4045,2383.7715,2579.9233,2333.0342,2064.5159,2087.0381,2123.7068,2010.5601,2021.3737,2020.2097,1936.5029,2008.6007,2240.9773,2386.3708,2404.6335,2422.9668,2348.4326,2537.032,2472.0566,2548.1997,2752.0222,2788.2439,2403.7263,2417.4946,2454.0264,2607.8137,2642.6309,2679.8435,2691.1995,2771.7478,2838.2239,2745.5413,3062.158,2988.5417,2692.5435,2726.6133,2954.8572,3054.4631,3212.4592,3382.4414,3232.3171,3033.479,2682.2034,2694.8701,1606253.766666667,2209414,736507,0,1.9438604,1.6579088,-2.927412
Luxembourg,LUX,14919.361,15737.449,17184.961,15372.109,14855.749,15821.893,17343.756,17834.363,17158.766,17080.227,18467.475,18254.885,17689.723,17681.902,18909.072,18992.67,19168.236,19881.859,20885.209,23684.152,23633.424,22631.674,24102.295,26630.957,28157.404,24126.014,25531.139,25630.174,26923.941,27806.582,28116.154,26984.379,26985.086,26846.723,26482.469,26308.791,30128.865,30807.178,33786.363,37509.531,38945.746,42679.285,42778.449,45307.543,47157.141,46934.922,47193.207,51031.633,54626.34,60363.395,66585.977,62035.969,59912.57,57764.754,53136.387,66100.273,64797.258,68275.547,66359.656,60593.629,67784.188,66803.414,68756.313,65823.289,76519.352,82382.438,86516.094,90597.547,88604.07,90479.406,413399.7333333333,620166,313886,1,2.5531125,2.7300088,-.032604735
Madagascar,MDG,,,,,,,,,,,1609.1785,1648.1664,1689.9932,1655.2693,1648.6281,1596.8601,1640.1215,1681.0325,1779.9628,1806.6989,1870.4811,1897.3413,1806.0222,1701.8558,1658.2151,1618.3119,1590.7915,1572.1006,1501.5496,1566.9484,1546.6405,1457.8478,1434.4271,1462.3719,1467.4402,1494.5985,1740.9473,1551.2799,1495.9714,1408.77,1423.8962,1293.9891,1217.8358,1206.9618,1170.8748,1174.5333,1195.0319,1207.5371,1232.3171,1258.1376,1269.4547,1303.8961,1165.6875,1273.0856,1347.7919,1391.3483,1429.0686,1445.6991,1583.9712,1535.5137,1652.3534,1758.6234,1760.0046,1708.0085,1648.2905,1643.5133,1676.6515,1632.0601,1544.0632,1539.063,13621593.81666667,28219558,5111034,0,.17428419,-.075479969,-2.472892
Malawi,MWI,,,,,770.297,803.72101,844.34344,892.88464,889.12634,845.31482,899.36212,899.3642,895.27362,888.06622,864.37665,976.60895,1096.7731,1096.1475,1089.4487,1137.7822,1146.9857,1270.8193,1359.8124,1295.6934,1344.196,1370.7297,1342.7197,1313.6918,1327.7742,1269.2446,1267.7512,1282.022,1316.3142,1385.2129,1437.9813,1544.4951,1370.787,1232.4524,1113.8799,1145.124,1061.9098,1113.9692,977.50568,1047.2645,1214.8795,1154.6603,1094.4213,1177.9026,980.36853,990.67676,954.17859,856.27875,1013.1568,1024.0898,1150.7426,1200.087,1218.9154,1432.0919,1623.2701,1196.9756,1159.4869,1192.2114,1081.9175,1206.1454,1081.6387,1124.0508,1084.6626,1147.5176,1135.2921,1161.3806,9467024.699999999,19025748,3628136,0,.55423504,.43429458,-3.0546854
Malaysia,MYS,,,,,,2431.7617,2522.0889,2506.759,2435.1902,2536.1992,2690.4031,2858.155,2977.1055,3092.9111,3280.8254,3416.8757,3543.6829,3551.6479,3625.6663,3665.0684,3883.3384,4635.8828,4875.0156,5360.3262,5793.1685,5483.5532,5962.1328,6295.1094,6566.4155,6951.8701,7404.9971,7702.4521,7999.085,8291.5449,8706.6445,7855.6699,7072.2646,7407.9771,7862.2739,8485.793,9329.916,10076.065,10451.805,11117.896,11731.379,12752.089,13556.125,13890.785,11568.118,11857.314,13385.826,12923.659,13435.977,14028.735,15080.205,16883.428,16887.713,18299.684,20175.873,18632.186,19924.387,22259.436,23680.811,24149.773,23988.039,23256.721,23426.953,24159.168,24924.949,25735.309,18672596.91666667,33440588,7956200,0,4.2303162,3.9016006,-1.9589248
